NO,name,ido,keido
1,安心堂メガネ店,34.97453,138.38311,静岡市葵区呉服町２－５－１
2,タカラ堂,34.97393,138.38361,静岡市葵区呉服町２－４－４
3,竹茗堂,34.97394,138.38354,静岡市葵区呉服町２－４－３
4,呉服町ギャラリー,34.97402,138.38346,静岡県静岡市葵区呉服町２丁目４−１
5,三保原屋,34.97406,138.38328,静岡市葵区呉服町２－３－６
6,ふしみや,34.97416,138.3829,静岡市葵区呉服町２－３－１　ふしみやビル（１Ｆ化粧品　コーナー）
7,安心堂,34.9737,138.38372,静岡県静岡市葵区呉服町２丁目９−１
8,静岡伊勢丹,34.97469,138.38107,静岡市葵区呉服町２－５－１
9,青葉緑地トイレ,34.973885, 138.382489,静岡市葵区呉服町二丁目
10,新館(17階の建物),34.975179,138.383275,静岡県静岡市葵区追手町５−１葵区役所
11,本館,34.975671,138.382771,静岡県静岡市葵区追手町５−１静岡市役所静岡庁舎
